,Dept,Number,Course_Name,Professor_x,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Unnamed: 0.1,Professor_y,Median Grade,Semester (Ex: SP21),# of Students,Notes,Semester,Pre/Coreqs_Clean,ID,Name,Number_of_Ratings,Average_Rating,Difficulty,Take Again,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
12,ECON,1110,Introductory Microeconomics,Nicholas Sanders,09:05AM,09:55AM,To Be Assigned,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy.",,"Fall, Winter, Spring, Summer.",ECON 1110,266.0,Sanders/Thomas,B+,FA21,889.0,,0.0,[],2268390.0,Nicholas Sanders,30.0,4.4,2.5,93.3333,2.61,3.52,2.36
13,ECON,1120,Introductory Macroeconomics,Jennifer Wissink,10:10AM,11:00AM,To Be Assigned,"Analysis of aggregate economic activity in relation to the level, stability, and growth of national income. Topics may include the determination and effects of unemployment, inflation, balance of payments, deficits, and economic development, and how these may be influenced by monetary, fiscal, and other policies.",,"Fall, Winter, Spring, Summer.",ECON 1120,269.0,Wissink,B+,FA21,283.0,,0.0,[],134422.0,Jennifer Wissink,274.0,3.3,3.3,38.5714,2.0,3.22,2.44
14,ECON,4260,Public Finance: The Microeconomics of Government,Jennifer Wissink,01:00PM,02:15PM,To Be Assigned,"Analyzes the role of government in a free market economy. Topics include public goods, market failures, allocation mechanisms, optimal taxation, effects of taxation, and benefit-cost analysis. Current topics of an applied nature vary from semester to semester.","Prerequisite: ECON 1110, ECON 1120 and ECON 3030, or equivalents, and one semester of calculus.",Fall.,ECON 4260,282.0,Wissink,B+,FA21,70.0,,0.0,[],134422.0,Jennifer Wissink,274.0,3.3,3.3,38.5714,3.5,4.0,2.0
15,ECON,3130,Statistics and Probability,Douglas McKee,08:05AM,09:20AM,To Be Assigned,"Provides an introduction to statistical inference and to principles of probability. It includes descriptive statistics, principles of probability, discrete and continuous distributions, and hypothesis testing (of sample means, proportions, variance). Regression analysis and correlation are introduced.",Prerequisite: MATH 1110 - MATH 1120 and ECON 1110 or ECON 1120.,Fall.,ECON 3130,277.0,McKee,A-,FA21,137.0,goat,0.0,[],,,,,,,2.83,4.0,3.5
16,PAM,3410,Economics of Consumer Protection and the Law,Alan Mathios,11:25AM,12:40PM,To Be Assigned,"The course will focus on how legal rules and regulations impact consumers in the marketplace. A significant portion of this course will focus on how developments in tort law, contract law, property law, and regulatory law influence social welfare and serve to protect consumers in their interactions with the marketplace. The course will also focus on how the federal regulatory agencies function and analyze the effectiveness of these agencies in protecting consumers. The course will focus specifically on the Food and Drug Administration and the Federal Trade Commission. In addition to students interested in public policy and economics, the course can be helpful to students who are interested in attending law school as students will get exposed to many of the concepts they will address in a first year law school curriculum.",Prerequisite: coursework in introductory microeconomics and intermediate microeconomics.,Fall.,PAM 3410,548.0,Mathios,A-,FA21,86.0,,0.0,[],,,,,,,3.5,3.0,3.0
17,ECON,4660,Behavioral Economics,Ted O'Donoghue,09:40AM,10:55AM,To Be Assigned,"This course introduces students to behavioral economics, a subfield of economics that incorporates insights from psychology and other social sciences into economics. The course reviews some of the standard assumptions made in economics, and examines evidence on how human behavior systematically departs from these assumptions. The course then investigates alternative models of human decision making, and assesses to what extent these alternative models help improve economic analyses.",Prerequisite: ECON 3030 or equivalent.,Fall or Spring.,ECON 4660,284.0,O'Donoghue,B+,FA21,139.0,,0.0,[],210623.0,Ted O'Donoghue,25.0,4.6,3.0,100.0,3.33,4.33,3.33
18,EDUC,2610,Intergroup Dialogue,Jazlin Gomez,11:20AM,02:20PM,To Be Assigned,"Intergroup dialogue is a form of communication specifically designed for people to engage with one another across social, cultural, and power differences in a critical and meaningful way. This class prepares students to live and work in a diverse world, and educates them in making choices that advance equity. Its main objectives are to: explore our human capacity and need to connect with ourselves and others; increase understanding of personal and social identities and how they inform our lives; explore the effects of social inequity at personal, interpersonal, and structural levels (including the ways in which it disrupts human connection); develop students' skills to communicate, work, and lead effectively across difference; and strengthen individual and collective capacities to strategize for change on campus and beyond.",,"Fall, Spring.",EDUC 2610,286.0,Steinhall,A,FA21,86.0,,0.0,[],,,,,,,1.67,4.5,2.0
19,ENGRD,2700,Basic Engineering Probability and Statistics,Jamol Pender,11:25AM,12:40PM,To Be Assigned,"Gives students a working knowledge of basic probability and statistics and their application to engineering. Includes computer analysis of data and simulation. Topics include random variables, probability distributions, expectation, estimation, testing, experimental design, quality control, and regression.","Prerequisite: MATH 1910, MATH 1920.","Fall, Spring, Summer.",ENGRD 2700,308.0,Callister,A,FA21,204.0,,0.0,[],2217297.0,Jamol Pender,5.0,4.2,4.0,80.0,3.33,3.15,3.0
20,ENGRI,1270,Introduction to Entrepreneurship for Engineers,John Richard Callister,10:10AM,11:00AM,To Be Assigned,"A solid introduction to the entrepreneurial process to students in engineering. The main objective is to identify and to begin to develop skills in the engineering work that occurs in high-growth, high-tech ventures. Basic engineering management issues, including the entrepreneurial perspective, opportunity recognition and evaluation, and gathering and managing resources are covered. The fundamentals of supply and demand and other basic microeconomic terms are covered. Technical topics such as the engineering design process, product realization, and technology forecasting are discussed.",,Fall.,ENGRI 1270,323.0,Callister,A+,FA21,69.0,,0.0,[],,,,,,,1.11,3.22,1.78
21,MAE,4300,Professional Practice in Mechanical Engineering,John Richard Callister,01:00PM,02:15PM,To Be Assigned,"Professional practice and broader impacts of the mechanical engineering profession are presented through a series of lectures and invited talks, supplemented by assignments and projects. Topics include professional ethics, product liability, intellectual property, career/educational paths, contemporary issues facing mechanical engineers, and engineering successes and failures, along with the global, societal, environmental and/or economic aspects and impact of engineering.",,Fall.,MAE 4300,453.0,Callister,A+,FA21,130.0,,0.0,[],,,,,,,,,
22,MAE,3270,Mechanics of Engineering Materials,Alan Zehnder,11:20AM,12:10PM,To Be Assigned,"This course will offer students opportunities to perform preliminary design and analysis of structures and mechanical components and to select materials to meet design objectives and constraints.  To do so, students will extend their knowledge of and ability to apply solid and structural mechanics topics including general states of stress and strain, elasticity, coordinate transformations, energy methods, effects of combined loading and mechanical testing.  The use of multipe failure criteria including yielding, brittle failure, fatigue and fracture as part of design calculations to meet stiffness, strength and other performace criteria is emphasized.  Students are introduced to the structure, processing and mechanical properties of metals, polymers, ceramics and composites.  A formal approach to mateirals selection is introduced and applied.","Prerequisite: ENGRD 2020, MATH 2940, CS 1112 or CS 1110.","Fall, Summer.",MAE 3270,449.0,Zehnder,B,FA21,119.0,,0.0,[],620736.0,Alan Zehnder,10.0,4.1,2.6,75.0,,,
23,ENGRI,1101,Engineering Applications of Operations Research,David Shmoys,10:10AM,11:00AM,To Be Assigned,"Introduction to the problems and methods of operations research and information engineering focusing on problem areas (including inventory, network design, and resource allocation), the situations in which these problems arise, and several standard solution techniques. In the computational laboratory, students encounter problem simulations and use some standard commercial software packages.",,"Fall, Spring.",ENGRI 1101,314.0,Brenda Dietrich,A,FA21,77.0,,0.0,[],185456.0,David Shmoys,9.0,4.1,3.0,-1.0,2.38,3.33,3.0
24,ENGRI,1140,Materials: The Future of Energy,R. van Dover,10:10AM,11:00AM,To Be Assigned,"New technologies are urgently needed to fulfill projected global energy requirements. Materials properties typically limit the performance that can be achieved in generation, transport, and utilization of energy. This course will explore how new materials can increase our energy supply, facilitate transportation of energy, and decrease consumption. Materials issues in photovoltaic, fuel cell, battery, transportation, lighting, and building technologies will be studied.","Prerequisite: knowledge of calculus, physics, and chemistry at the high school level.",Fall.,ENGRI 1140,318.0,Van Dover,B+,FA21,63.0,,0.0,[],,,,,,,3.17,3.25,3.25
25,VIEN,1104,Introduction to Wines and Vines,Kathy Arnink,11:25AM,12:40PM,To Be Assigned,"Broad introduction to grape cultivation and wine fermentations. Topics include history of winemaking, viticultural regions, vineyard and winery practices, wine flavor chemistry and microbiology, and wine flavor perception. Tasting wines in class illustrates the components that determine wine quality.",,"Fall, Spring.",VIEN 1104,630.0,Arnink/Moss,A,FA21,208.0,,0.0,[],,,,,,,1.0,4.5,1.5
26,CS,4320,Introduction to Database Systems,Immanuel Trummer,02:40PM,03:30PM,To Be Assigned,"Introduction to modern database and data storage systems. Concepts covered include data models, query languages, database designs, storage structures, access methods, query processing and optimization, transaction management, and recovery in both relational and nonrelation data storage systems.","Prerequisite: CS 2110, CS 2800.",Fall.,CS 4320,204.0,Trummer,A,FA21,182.0,,0.0,[],2260768.0,Immanuel Trummer,11.0,3.5,3.4,54.5455,3.08,3.12,2.38
27,FREN,2090,French Intermediate Composition and Conversation I,Flavien Glidja,09:05AM,09:55AM,To Be Assigned,"This intermediate-level course is designed for students who want to focus on their speaking and writing skills. Emphasis is placed on strengthening of grammar skills, expansion of vocabulary and discourse levels to increase communicative fluency and accuracy. The course also provides continued reading and listening practice as well as development of effective language learning strategies.","Prerequisite: FREN 1230, LPF score 56-64, or SAT II 600-680 or AP French language 4, or CASE Q.","Fall, Spring.",FREN 2090,332.0,Glidja,A-,FA21,70.0,,0.0,[],1275803.0,Flavien Glidja,19.0,3.4,3.6,33.3333,2.25,3.67,3.0
28,STSCI,4740,Data Mining and Machine Learning,Yang Ning,11:25AM,12:40PM,To Be Assigned,"We start off with a detailed refresher for Linear Regression. We then turn to popular methods for classification including Logistic Regression and Discriminant Analysis. Finally, we consider more advanced topics which may include - depending on the audience - Resampling Methods, Tree-based Methods, or Support Vector Machines. The statistics software R is introduced and used for applications.","Prerequisite: CS 1112 or equivalent, MATH 2220, STSCI 3200, STSCI 3080 or MATH 4710.",Fall.,STSCI 4740,628.0,Ning,A-,FA21,39.0,,0.0,[],2201480.0,Yang Ning,11.0,4.9,3.1,100.0,1.75,3.33,2.33
29,CS,3410,Computer System Organization and Programming,Anne Bracy,01:30PM,02:20PM,To Be Assigned,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,"Fall, Spring.",CS 3410,197.0,Bracy,B+,FA21,242.0,,0.0,[],2109847.0,Anne Bracy,43.0,3.0,4.0,52.5,4.16,3.79,3.93
30,BTRY,4381,Biomedical Data Mining and Modeling,Haiyuan Yu,02:45PM,04:00PM,To Be Assigned,"A biomedical data science course using Python and available bioinformatics tools and techniques for the analysis of molecular biological data, including biosequences, microarrays, and networks.  This course emphasizes practical skills rather than theory. Topics include advanced Python programming, R and Bioconductor, sequence alignment, MySQL database (DBI), web programming and services (CGI), genomics and proteomics data mining and analysis, machine learning, and methods for inferring and analyzing regulatory, protein-protein interaction, and metabolite networks.","Prerequisite: at least one introductory course in computer programming (any language) and one in statistical methods, or permission of the instructor.",Fall.,BTRY 4381,130.0,Yu,A-,FA21,24.0,,0.0,[],,,,,,,3.0,4.0,2.0
31,CEE,3040,Uncertainty Analysis in Engineering,Ricardo Daziano,11:25AM,12:40PM,To Be Assigned,"Introduction to statistics and data analysis for engineers. Covers probability theory, discrete and continuous random variables, parametric probability distributions commonly used in engineering practice and research, point estimation, sampling distributions, confidence intervals, hypothesis testing, simple linear regression, and nonparametric statistics. Empirical examples from engineering problems are highlighted.","Prerequisite: MATH 1910 and MATH 1920, or equivalents.",Fall.,CEE 3040,134.0,Daziano,B+,FA21,87.0,,0.0,[],2763541.0,Ricardo Daziano,1.0,4.0,3.0,100.0,3.5,3.0,3.0
32,CEE,3310,Fluid Mechanics,Qi Li,09:40AM,10:55AM,To Be Assigned,"Covers hydrostatics, the basic equations of incompressible fluid flow, potential flow and dynamic pressure forces, viscous flow and shear forces, steady pipe flow, turbulence, dimensional analysis, laminar and turbulence boundary layer, flows around obstacles, and open-channel flow. Includes small-group laboratory assignments.","Prerequisite: MATH 2930, or permission of instructor.","Fall, Summer (offered in summer through the Engineering Cooperative Program).",CEE 3310,135.0,Li,A-,FA21,76.0,,0.0,[],2763534.0,Qi Li,1.0,4.0,2.0,100.0,3.5,3.33,3.0
33,CEE,3410,Introduction to Geotechnical Engineering,David Orr,11:20AM,12:10PM,To Be Assigned,"Fundamentals of geotechnical engineering. Topics include origins and descriptions of soil and rock as engineering materials, subsurface exploration methods, principles of effective stresses, stress distribution and ground settlements from surface loads, steady-state and time-dependent subsurface fluid flow, soil strength and failure criteria, geoenvironmental applications, and introduction to hazardous waste containment systems.",Prerequisite: ENGRD 2020 or permission of instructor.,Fall.,CEE 3410,137.0,Gadikota,A,FA21,37.0,,0.0,[],2076467.0,David Orr,1.0,5.0,3.0,-1.0,3.0,2.0,3.0
34,CEE,4725,Intermediate Solid Mechanics,Derek Warner,09:40AM,10:55AM,To Be Assigned,"This course introduces students to the mathematical framework that describes the deformation of solids and structures due to the action of mechanical and thermal loads. The course is intended to provide a foundation for better understanding and utilizing popular and novel engineering analysis tools associated with predicting mechanical behavior, e.g. finite element analysis. Focusing on linear elasticity, yield criteria, and basic fracture mechanics, this course emphasizes the development of a mechanical intuition that will enable students to better solve problems and innovate across a broad range of domains, e.g. civil, aerospace, nuclear, biomedical, and mechanical engineering, as well as the physical, geological, and materials sciences.","Prerequisite: MATH 2940, ENGRD 2020 and ENGRD 3200.","Fall, Summer.",CEE 4725,141.0,Warner,A,FA21,22.0,,0.0,[],1272529.0,Derek Warner,4.0,4.2,2.3,100.0,,,
35,CHEM,2070,General Chemistry I,Stephen Lee,10:10AM,11:00AM,To Be Assigned,"Covers fundamental chemical principles, with considerable attention given to the quantitative aspects and techniques important for further work in chemistry.",,"Fall, Summer.",CHEM 2070,145.0,Lee,B,FA21,784.0,,0.0,[],9789.0,Stephen Lee,80.0,3.3,4.3,65.0,4.2,3.07,4.1
36,MAE,4351,Interdisciplinary Design Concepts,Marty Murtagh,01:35PM,03:30PM,To Be Assigned,"This course emphasizes entrepreneurial driven technology designs (forward engineering) by integrating mechanical, chemical, and materials engineering through the understanding of early stage product development complexities. These complexities include staging invention and innovation via the critical selection of materials, assessing product mechanics and processes for final product function, performance, reliability, cost and technical marketability. Students will attend lectures, participate in establishing a Tech Startup integrated into the Johnson School MBA mentoring program, attend startup design reviews, give a series of individual/group presentations, and write a startup issue paper.",,Fall.,MAE 4351,455.0,Callister/Murtagh,A-,FA21,13.0,crosslisted w/ MSE 5070 and CHEME 5730,0.0,[],,,,,,,,,
37,CHIN,2209,Intermediate Chinese Reading and Writing for Students of Chinese Heritage I,Su George,09:05AM,09:55AM,To Be Assigned,"This course focuses on reading and writing Chinese at the intermediate level for Chinese heritage students who can speak Mandarin fluently. Students will read authentic texts written by iconic Chinese figures such as Hu Shih (a Cornell alumnus, class of 1914) and Lin Yutang (author of The Importance of Living and Moment in Peking), and practice writing while exploring various aspects of traditional Chinese culture. Students will exit the course with a book of their own in Chinese as the course project documenting their learning during the semester. This course helps students further solidify their foundation for Chinese study at the their next level as well as enhance their awareness of and overall competence in cross-cultural communication.",Prerequisite: a grade of B in CHIN 1110 or equivalent as determined through placement exam.,Fall.,CHIN 2209,162.0,George,A-,FA21,42.0,,0.0,[],,,,,,,4.83,3.67,5.0
38,CLASS,2604,Greek Mythology,Todd Clary,02:45PM,04:00PM,To Be Assigned,"The stories of Greek Mythology have ignited the imaginations of writers and artists from antiquity to the present day, from the tragedy of Achilles to the adventures of Percy Jackson. This course surveys the most influential stories of Gods and Heroes in Greek myths, focusing on their place in ancient Greek and Roman literature, society and religion, but also tracing their course in intellectual and art history through the Renaissance to the present day.",,"Fall, Winter, Summer.",CLASS 2604,166.0,Clary,A,FA21,182.0,,0.0,[],2344093.0,Todd Clary,6.0,4.8,3.2,100.0,1.8,4.6,1.4
39,PHIL,2200,Greek and Roman Philosophy,Tad Brennan,09:40AM,10:55AM,To Be Assigned,"An introductory survey of ancient Greek philosophy from the so-called Presocratics (6th century BCE) through the Hellenistic period (1st century BCE) with special emphasis on the thought of Socrates, Plato, and Aristotle.",,Fall.,PHIL 2200,553.0,Brennan,A-,FA21,46.0,,0.0,[],1020285.0,Tad Brennan,17.0,4.2,2.7,62.5,2.0,4.0,2.0
40,LING,1101,Introduction to Linguistics,Laura Casasanto,10:10AM,11:00AM,To Be Assigned,"Overview of the science of language, especially its theoretical underpinnings, methods, and major findings. Areas covered include: the relation between sound and meaning in human languages, social variation in language, language change over time, universals of language, and the mental representation of linguistic knowledge. Students are introduced to a wide variety of language phenomena, drawn not only from languages resembling English, but also from many that appear to be quite unlike English, such as those native to the Americas, Africa, Asia, Australia, and the South Pacific.",,"Fall, Spring.",LING 1101,436.0,Mendia,A,FA21,125.0,,0.0,[],,,,,,,2.44,4.21,2.21
41,PHIL,2310,Introduction to Deductive Logic,Theodore Korzukhin,01:30PM,02:20PM,To Be Assigned,"Covers sentential languages, the truth-functional connectives, and their logic; first-order languages, the quantifiers ""every"" and ""some,"" and their logic.",,"Fall, spring.",PHIL 2310,555.0,Markovits,A-,FA21,51.0,,0.0,[],2752075.0,Theodore Korzukhin,2.0,1.0,3.5,0.0,,,
42,CS,4740,Natural Language Processing,Lillian Lee,01:00PM,02:15PM,To Be Assigned,"This course constitutes an introduction to natural language processing (NLP), the goal of which is to enable computers to use human languages as input, output, or both. NLP is at the heart of many of today's most exciting technological achievements, including machine translation, automatic conversational assistants and Internet search. Possible topics include methods for handling underlying linguistic phenomena (e.g., syntactic analysis, word sense disambiguation and discourse analysis) and vital emerging applications (e.g., machine translation, sentiment analysis, summarization and information extraction). ",Prerequisite: CS 2110.,Fall.,CS 4740,216.0,Cardie,B+,FA21,,,0.0,[],232759.0,Lillian Lee,8.0,4.5,3.3,100.0,3.67,1.57,4.43
43,INFO,2450,Communication and Technology,Chao Yu,09:40AM,10:55AM,To Be Assigned,Introduces students to the Communication and Information Technologies focus area of the communication department and the Human Systems track for information science. It examines several approaches to understanding technology and its role in human behavior and society. Topics include psychological aspects of computer-mediated communication; how design plays a role in the way we interface with technology and collaborate with each other; and the ways in which communication technology is situated inside social and institutional structures and cultural formations.,,"Fall, Spring, Summer.",INFO 2450,422.0,Nathan Matias,A-,FA21,258.0,Crosslisted with COMM 2450 ,0.0,[],,,,,,,2.33,3.5,2.42
44,INFO,3450,Human-Computer Interaction Design,Gilly Leshed,02:45PM,04:00PM,To Be Assigned,"This course focuses on user experience design (UX) and the life cycle of interface design from the user perspective. We will discuss key aspects of the human-centered design process: understanding, analyzing, and formalizing user needs, exploring possible design solutions to address user needs, creating prototypes to externalize design ideas, and evaluating the usability of these prototypes.",,"Fall, Spring, Summer.",INFO 3450,426.0,Yang,A,FA21,92.0,All assignments graded by TAs -> very arbitrary,0.0,[],1632664.0,Gilly Leshed,16.0,2.7,3.3,45.4545,2.76,3.6,4.47
45,CS,1110,Introduction to Computing Using Python,Walker White,09:05AM,09:55AM,To Be Assigned,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help. ",,"Fall, Spring, Summer.",CS 1110,178.0,White,B+,FA21,743.0,,0.0,[],1705832.0,Walker White,96.0,4.7,3.1,91.9355,2.99,4.38,3.52
46,CS,1112,Introduction to Computing Using MATLAB,Dominic Diaz,02:40PM,03:30PM,To Be Assigned,"Programming and problem solving using MATLAB. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, recursion, object-oriented programming, and MATLAB graphics. Assignments are designed to build an appreciation for complexity, dimension, fuzzy data, inexact arithmetic, randomness, simulation, and the role of approximation.","Corequisite: MATH 1110, MATH 1910, or equivalent.","Fall, Spring.",CS 1112,179.0,Fan,B,FA21,,,0.0,[],,,,,,,3.12,5.0,3.8
