,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Description,Pre/coreqs,Dept + Number,Median Grade,Semester (Ex: SP21),Semester,Pre/Coreqs_Clean,Number_of_Ratings,Average_Rating,Difficulty,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
10,CHEM,2090,Engineering General Chemistry,H. Davis,11:20AM,12:10PM,"Covers basic chemical concepts, such as reactivity and bonding of molecules, introductory quantum mechanics, and intermolecular forces in liquids and solids and gases. Attention will be focused on aspects and applications of chemistry most pertinent to engineering.",Prerequisite: high school chemistry or permission of instructor.,CHEM 2090,B,FA21,0.0,[],,,,3.91,1.96,3.39
11,HADM,2010,Hospitality Quantitative Analysis,Gary Thompson,01:00PM,02:15PM,"This introductory statistics course is taught from the perspective of solving problems and making decisions within the hospitality industry. Students learn introductory probability, as well as how to gather data, evaluate the quality of data, graphically represent data, and apply some fundamental statistical methodologies. Statistical methods covered include: estimation and hypothesis testing relating to one- and two-sample problems of means, simple linear regression, and multiple regression. Excel is used as the statistical computing software and the class uses a very hands-on approach.",Prerequisite: HADM 1740.,HADM 2010,A-,FA21,0.0,['HADM 1740'],8.0,3.4,4.0,2.0,5.0,3.0
12,HADM,2220,Finance,Pamela Moulton,08:05AM,09:20AM,"This course provides an introduction to core ideas in finance as well as a foundation for further study.  Upon completion of this course students should be able to (1) perform basic valuation of cash flows from projects, bonds, and stocks; (2) demonstrate basic understanding of capital budgeting decisions through the use of concepts including the time value of money and discounted cash flow analysis; (3) assess the relation between risk and return and integrate that knowledge in determining corporate cost of capital; and (4) demonstrate an understanding of the role of debt and equity in corporate capital structure.",Prerequisite: HADM 1210.,HADM 2220,A-,FA21,0.0,['HADM 1210'],7.0,4.5,3.3,3.0,5.0,3.0
13,HADM,2430,Marketing Management for Services,William Lynn,11:25AM,12:40PM,"Students develop an understanding of marketing management for hospitality and related service organizations: the process through which organizations analyze, plan, implement, and control programs to develop and maintain beneficial exchanges with target buyers. Students learn about marketing management through a mix of readings, lectures, class discussions, individual and group exercises, industry guest speakers, and exams.",,HADM 2430,A-,FA21,0.0,[nan],0.0,0.0,0.0,4.0,3.0,2.0
14,STSCI,3080,Probability Models and Inference,Ahmed El Alaoui,11:25AM,12:40PM,"This course provides an introduction to probability and parametric inference. Topics include: random variables, standard distributions, the law of large numbers, the central limit theorem, likelihood-based estimation, sampling distributions and hypothesis testing, as well as an introduction to Bayesian methods. Some assignments may involve computation using the R programming language.","Prerequisite: STSCI 2150 or STSCI 2200/BTRY 3010 or equivalent, MATH 2130 or equivalent.",STSCI 3080,A-,FA21,0.0,"['MATH 2130', 'STSCI 2150']",8.0,2.0,4.4,2.3,2.7,2.0
15,ILRHR,2600,Human Resource Management,Paul Davis,01:00PM,02:15PM,"Intended to introduce students to the field of human resource management (HRM). Students learn theories and applications involved in effectively managing people in organizations. In addition, this course covers current topics in HRM that have resulted from environmental and organizational challenges (e.g., technology, globalization, legislation, restructuring, work/life balance, changing labor markets). Emphasis is placed on developing relevant problem-solving and critical-thinking skills, as the basic concepts of HRM and the skills developed in this course are applicable to all types of organizations and jobs in which students will eventually work.",,ILRHR 2600,A ,FA21,0.0,[nan],19.0,4.2,2.5,1.0,4.0,
16,ILRLR,2050,Labor Relations,John McCarthy,08:05AM,09:20AM,"A comprehensive introduction to the labor relations systems of the United States and other countries. Covers the determinants of bargaining power, the process of labor agreement negotiation and administration, and assessment of the effects that collective representation exerts on economic and social outcomes. Special consideration is given to the increasing importance of new technology and international factors including global supply chains.",,ILRLR 2050,A-,FA21,0.0,[nan],2.0,3.5,2.0,2.0,3.5,3.0
17,ECE,2100,Introduction to Circuits for Electrical and Computer Engineers,Carl Poitras,10:10AM,11:00AM,"This course is an introduction to electronic circuits. We start with the basic quantities used to characterize circuit operation (like current, voltage, and power) and then enforce several physical laws to form the basis of our approach to circuit analysis. Networks comprising passive circuit elements such as resistors, inductors, and capacitors will be examined under constant dc, transient, and sinusoidal steady-state conditions. Active components including transistors and Op-Amps will be introduced and used to build simple amplifiers and switching power converters. Many of these ideas will be unified mathematically through the use of Laplace transforms and associated transfer functions. In the lab part of the course, we will learn how to use modern instruments to test circuits, and explore the concepts from lecture applied to real circuits. Finally, we will develop some simple modeling software in MATLAB to numerically predict the results from analysis and experiment.",Prerequisite: MATH 1920 or PHYS 1112. Corequisite: MATH 2930 or PHYS 2213.,ECE 2100,A-,FA21,0.0,"['MATH 1920', 'MATH 2930', 'PHYS 1112', 'PHYS 2213']",36.0,4.1,3.3,4.4,3.0,3.0
18,ILRLE,2400,Economics of Wages and Employment,George Jakubson,08:05AM,09:20AM,"Applies the theory and elementary tools of economics to the characteristics and problems of the labor market. Considers both the demand (employer) and supply (employee) sides of the market to gain a deeper understanding of the effects of various government programs and private decisions targeted at the labor market. Topics include employment demand, basic compensation determination, education and training, benefits and the structure of compensation, labor-force participation and its relation to household production, occupational choice, migration, labor-market discrimination, and the effects of unions.",Prerequisite: ECON 1110-ECON 1120 or permission of instructor,ILRLE 2400,B+,FA21,0.0,"['ECON 1110', 'ECON 1120']",88.0,2.7,4.0,3.0,3.0,3.0
19,ILROB,1220,Introduction to Organizational Behavior,Vanessa Bohns,10:10AM,11:00AM,"Introductory survey course of theory and research on individual and group processes (including personality, motivation, communication, and leadership), as well as structural and economic forces (including organizational design, power relations, interorganizational ties, social norms, and laws) that shape the contemporary workplace.",,ILROB 1220,A ,FA21,0.0,[nan],,,,2.0,4.0,2.0
20,INFO,4940,Special Topics in Information Science,Sharlane Cleare,01:00PM,02:15PM,"Study of topics not currently covered in INFO offerings, as determined by faculty and student interest.",,INFO 4940,A+,FA21,0.0,[nan],,,,2.87,3.5,4.12
21,LING,1100,"FWS: Language, Thought, and Reality",Dorit Abusch,02:45PM,04:00PM,In this course the students learn the skill of writing at the university level. Instructors offer themes for their courses within their own special areas of expertise.  ,,LING 1100,A,FA21,0.0,[nan],11.0,2.0,3.5,1.75,4.5,2.0
22,INFO,2450,Communication and Technology,Chao Yu,09:40AM,10:55AM,Introduces students to the Communication and Information Technologies focus area of the communication department and the Human Systems track for information science. It examines several approaches to understanding technology and its role in human behavior and society. Topics include psychological aspects of computer-mediated communication; how design plays a role in the way we interface with technology and collaborate with each other; and the ways in which communication technology is situated inside social and institutional structures and cultural formations.,,INFO 2450,A-,FA21,0.0,[nan],,,,2.32,3.6,2.3
23,INFO,3450,Human-Computer Interaction Design,Qian Yang,01:30PM,02:20PM,"This course focuses on user experience design (UX) and the life cycle of interface design from the user perspective. We will discuss key aspects of the human-centered design process: understanding, analyzing, and formalizing user needs, exploring possible design solutions to address user needs, creating prototypes to externalize design ideas, and evaluating the usability of these prototypes.",,INFO 3450,A,FA21,0.0,[nan],,,,3.0,3.2,4.7
24,CS,1110,Introduction to Computing Using Python,Anne Bracy,09:05AM,09:55AM,"Programming and problem solving using Python. Emphasizes principles of software development, style, and testing. Topics include procedures and functions, iteration, recursion, arrays and vectors, strings, an operational model of procedure and function calls, algorithms, exceptions, object-oriented programming. Weekly labs provide guided practice on the computer, with staff present to help. ",,CS 1110,B+,FA21,0.0,[nan],43.0,3.0,4.0,3.0,4.38,3.54
25,CS,3410,Computer System Organization and Programming,Anne Bracy,11:20AM,12:10PM,"Introduction to computer organization, systems programming and the hardware/ software interface. Topics include instruction sets, computer arithmetic, datapath design, data formats, addressing modes, memory hierarchies including caches and virtual memory, I/O devices, bus-based I/O systems, and multicore architectures. Students learn assembly language programming and design a pipelined RISC processor.",Prerequisite: CS 2110 or equivalent programming experience. Recommended prerequisite: CS 2024. Should not take CS 3110 concurrently.,CS 3410,B+,FA21,0.0,"['CS 2110', 'CS 3110']",43.0,3.0,4.0,4.25,3.73,4.0
26,MATH,1910,Calculus for Engineers,Carl Poitras,09:05AM,09:55AM,"Essentially a second course in calculus. Topics include techniques of integration, finding areas and volumes by integration, exponential growth, partial fractions, infinite sequences and series, tests of convergence, and power series.","Prerequisite: three years high school mathematics, including trigonometry and logarithms, and at least one course in differential and integral calculus or equivalent AP credit.",MATH 1910,B,FA21,0.0,[],36.0,4.1,3.3,3.59,2.45,2.73
27,ECE,2300,Digital Logic and Computer Organization,Zhiru Zhang,01:00PM,02:15PM,"This course provides an introduction to the design and implementation of digital circuits and microprocessors. Topics include transistor network design, Boolean algebra, combinational circuits, sequential circuits, finite state machine design, processor pipelines, and memory hierarchy. Design methodology using both discrete components and hardware description languages is covered in the laboratory portion of the course.",Prerequisite: CS 1110 or CS 1112.,ECE 2300,B+,FA21,0.0,"['CS 1110', 'CS 1112']",7.0,4.2,2.7,3.14,3.64,3.36
28,ECE,2720,Data Science for Engineers,Aaron Wagner,02:45PM,04:00PM,"An introduction to data science for engineers. The data science workflow: acquisition and cleansing, exploration and modeling, prediction and decision making, visualization and presentation. Techniques for different steps in the workflow including outlier detection, regression, change-point detection, and classification. An introduction to probability, focusing on Gaussian distributions and linear models. Methods for combining domain-agnostic data analysis tools with the types of domain-specific knowledge that are common in engineering. Programming projects in Python.",Prerequisite: MATH 1920 and either CS 1110 or CS 1112.,ECE 2720,A,FA21,0.0,"['CS 1110', 'CS 1112', 'MATH 1920']",7.0,5.0,4.0,4.0,4.0,3.0
29,EAS,1600,Environmental Physics,Arthur Degaetano,09:40AM,10:55AM,"Fundamentals of radiation, thermodynamics, and mechanics will be introduced and used to understand energy and mass transfers in natural and built environments. Students will describe, identify and use basic principles of physics to discuss and assess renewable energy systems and solve environmental physics problems, using a physics vocabulary and appropriately quantifying results. The course is offered in the spring semester as a flipped class, meeting twice weekly. The course is offered in the fall semester as a web-based, online course and covers the same material.",Prerequisite: mathematics through high school trigonometry.,EAS 1600,B-,FA21,0.0,[],5.0,4.0,3.0,3.67,2.6,3.4
30,ECON,1110,Introductory Microeconomics,Jennifer Wissink,09:05AM,09:55AM,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy.",,ECON 1110,B+,FA21,0.0,[nan],274.0,3.3,3.2,2.61,3.52,2.36
31,DSOC,2090,Social Inequality,Vida Maralani,09:40AM,10:55AM,"This course reviews contemporary approaches to understanding social inequality and the processes by which it comes to be seen as legitimate, natural, or desirable. We address questions of the following kind: what are the major forms of stratification in human history? Are inequality and poverty inevitable? How many social classes are there in advanced industrialism societies? Is there a ""ruling class""? Are lifestyles, attitudes, and personalities shaped fundamentally by class membership? Can individuals born into poverty readily escape their class origins and move upward in the class structure? Are social contacts and ""luck"" important forces in matching individuals to jobs and class positions? What types of social processes serve to maintain and alter racial, ethnic, and gender discrimination in labor markets? Is there an ""underclass""? These and other questions are addressed in light of classical and contemporary theory and research.",,DSOC 2090,A-,FA21,0.0,[nan],2.0,4.0,4.5,2.5,4.5,3.0
32,ECON,3040,Intermediate Macroeconomic Theory,Mathieu Taschereau-Dumouchel,02:45PM,04:00PM,"Introduces the theory of national income and determination and economic growth in alternative models of the national economy. Examines the interaction and relation of these models to empirical aggregate economic data. Reviews national accounts, output and employment determination, price stability and economic growth, in the context of alternative government policy programs and the impact of globalization.","Prerequisite: ECON 1110, ECON 1120 and calculus.",ECON 3040,B+,FA21,0.0,"['ECON 1110', 'ECON 1120']",,,,3.14,3.0,2.33
33,ECON,3110,Probability Models and Inference for the Social Sciences,Kevin Packard,11:25AM,12:40PM,"This course provides an introduction to probability and parametric inference. Topics include: random variables, standard distributions, the law of large numbers, the central limit theorem, likelihood-based estimation, sampling distributions and hypothesis testing.",Prerequisite: MATH 1110 or equivalent.,ECON 3110,A,FA21,0.0,['MATH 1110'],36.0,2.3,3.9,1.67,3.75,1.75
34,CS,4820,Introduction to Analysis of Algorithms,Eshan Chattopadhyay,09:05AM,09:55AM,"Develops techniques used in the design and analysis of algorithms, with an emphasis on problems arising in computing applications. Example applications are drawn from systems and networks, artificial intelligence, computer vision, data mining, and computational biology. This course covers four major algorithm design techniques (greedy algorithms, divide-and-conquer, dynamic programming, and network flow), undecidability and NP-completeness, and algorithmic techniques for intractable problems (including identification of structured special cases , approximation algorithms, local search heuristics, and online algorithms).","Prerequisite: CS 2800, CS 3110. ",CS 4820,B,FA21,0.0,"['CS 2800', 'CS 3110']",1.0,4.0,3.0,4.58,4.06,4.24
35,CS,4780,Introduction to Machine Learning,Christopher De Sa,07:30PM,08:45PM,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.","Prerequisite: probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700) and linear algebra (e.g. MATH 2940) and calculus (e.g. MATH 1920) and programming proficiency (e.g. CS 2110).",CS 4780,A-,FA21,0.0,"['BTRY 3080', 'CS 2110', 'ENGRD 2700', 'MATH 1920', 'MATH 2940', 'MATH 4710']",,,,3.35,3.88,3.19
36,MAE,4900,Individual and Group Projects in Mechanical Engineering,Nelly Andarawis-Puri,,,"Individual or group study or project for students who want to pursue a particular analytical, computational, or experimental investigation outside of regular courses or for informal instruction supplementing that given in regular courses. An engineering report on the project is required of each student. Students must make individual arrangements with a faculty sponsor and submit an Undergraduate Research Project Approval Form to the Student Services Office, 108 Upson Hall. Students are expected to spend 3-4 hours per week per credit hour working on the project.",,MAE 4900,A,FA21,0.0,[nan],,,,,,
37,CS,4701,Practicum in Artificial Intelligence,Kevin Ellis,,,"Artificial Intelligence project class. Possible projects topics include knowledge representation systems, search procedures, game-playing, automated reasoning, concept learning, reinforcement learning, neural nets, genetic algorithms, planning, natural language processing, computer vision. Should be taken only by students with significant experience in Artificial Intelligence, such as those who have already taken CS 4700, CS 4780, CS 4670, or CS 4740.","Prerequisite: CS 4670, CS 4700, CS 4740, or CS 4780.",CS 4701,A,FA21,0.0,"['CS 4670', 'CS 4700', 'CS 4780']",0.0,0.0,0.0,1.0,3.0,1.0
38,ENGL,1105,FWS: Writing and Sexual Politics,Kathryn Diaz,12:25PM,01:15PM,"Topics and reading lists vary from section to section, but all will in some way address the subject of sexual politics. Some sections may deal with fiction, poetry, film, or drama, and many include a mix of literary genres. Students will practice close, attentive, and imaginative reading and writing. Consult the John S. Knight Institute Current Courses webpage to access current year offerings, instructors and section descriptions.",,ENGL 1105,A+,FA21,0.0,[nan],0.0,0.0,0.0,2.0,4.75,2.75
39,ENGRD,2700,Basic Engineering Probability and Statistics,Jamol Pender,01:00PM,02:15PM,"Gives students a working knowledge of basic probability and statistics and their application to engineering. Includes computer analysis of data and simulation. Topics include random variables, probability distributions, expectation, estimation, testing, experimental design, quality control, and regression.","Prerequisite: MATH 1910, MATH 1920.",ENGRD 2700,A,FA21,0.0,"['MATH 1910', 'MATH 1920']",5.0,4.2,3.6,3.35,3.08,3.08
40,ENGRI,1101,Engineering Applications of Operations Research,Frans Schalekamp,10:10AM,11:00AM,"Introduction to the problems and methods of operations research and information engineering focusing on problem areas (including inventory, network design, and resource allocation), the situations in which these problems arise, and several standard solution techniques. In the computational laboratory, students encounter problem simulations and use some standard commercial software packages.",,ENGRI 1101,A,FA21,0.0,[nan],,,,2.14,3.4,2.6
41,CS,3110,Data Structures and Functional Programming,Nate Foster,11:20AM,12:10PM,"Advanced programming course that emphasizes functional programming techniques and data structures. Programming topics include recursive and higher-order procedures, models of programming language evaluation and compilation, type systems, and polymorphism. Data structures and algorithms covered include graph algorithms, balanced trees, memory heaps, and garbage collection. Also covers techniques for analyzing program performance and correctness.",Prerequisite: CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800. Should not be taken concurrently with CS 3410 or CS 3420.,CS 3110,B+,FA21,0.0,"['CS 2110', 'CS 2800', 'CS 3410', 'CS 3420']",15.0,4.3,3.6,3.76,4.46,3.69
42,CS,2800,Discrete Structures,Anke van Zuylen,10:10AM,11:00AM,"Covers the mathematics that underlies most of computer science. Topics include mathematical induction; logical proof; propositional and predicate calculus; combinatorics and discrete mathematics; some basic elements of basic probability theory; basic number theory; sets, functions, and relations; graphs; and finite-state machines. These topics are discussed in the context of applications to many areas of computer science, such as the RSA cryptosystem and web searching.",Prerequisite or corequisite: one programming course or permission of instructor.,CS 2800,B+,FA21,0.0,[],6.0,4.8,3.8,3.81,3.32,3.79
43,CS,2110,Object-Oriented Programming and Data Structures,Michael Clarkson,10:10AM,11:00AM,"Intermediate programming in a high-level language and introduction to computer science. Topics include object-oriented programming (classes, objects, subclasses, types), graphical user interfaces, algorithm analysis (asymptotic complexity, big ""O"" notation), recursion, testing, program correctness (loop invariants), searching/sorting, data structures (lists, trees, stacks, queues, heaps, search trees, hash tables, graphs), graph algorithms. Java is the principal programming language.",Prerequisite: CS 1110 or CS 1112 or equivalent course on programming in a procedural language.,CS 2110,B,FA21,0.0,"['CS 1110', 'CS 1112']",19.0,4.5,3.6,2.89,3.85,2.69
44,VIEN,1104,Introduction to Wines and Vines,Kathy Arnink,11:25AM,12:40PM,"Broad introduction to grape cultivation and wine fermentations. Topics include history of winemaking, viticultural regions, vineyard and winery practices, wine flavor chemistry and microbiology, and wine flavor perception. Tasting wines in class illustrates the components that determine wine quality.",,VIEN 1104,A,FA21,0.0,[nan],,,,1.0,4.5,1.5
45,INFO,1260,Choices and Consequences in Computing,Jon Kleinberg,11:20AM,12:10PM,"Computing requires difficult choices that can have serious implications for real people. This course covers a range of ethical, societal, and policy implications of computing and information. It draws on recent developments in digital technology and their impact on society, situating these in the context of fundamental principles from computing, policy, ethics, and the social sciences. A particular emphasis will be placed on large areas in which advances in computing have consistently raised societal challenges: privacy of individual data; fairness in algorithmic decision-making; dissemination of online content; and accountability in the design of computing systems. As this is an area in which the pace of technological development raises new challenges on a regular basis, the broader goal of the course is to enable students to develop their own analyses of new situations as they emerge at the interface of computing and societal interests.",,INFO 1260,A,FA21,0.0,[nan],27.0,4.7,2.4,2.78,4.56,2.89
46,INFO,1300,Introductory Design and Programming for the Web,Royal Westwater,11:25AM,12:40PM,"The World Wide Web is both a technology and a pervasive and powerful resource in our society and culture. To build functional and effective web sites, students need technical and design skills as well as analytical skills for understanding who is using the web, in what ways they are using it, and for what purposes. In this course, students develop skills in all three of these areas through the use of technologies such as XHTML, Cascading Stylesheets, and PHP. Students study how web sites are deployed and used, usability issues on the web, user-centered design, and methods for visual layout and information architecture. Through the web, this course provides an introduction to the interdisciplinary field of information science.",,INFO 1300,A,FA21,0.0,[nan],,,,2.04,4.4,3.33
47,CS,1112,Introduction to Computing Using MATLAB,Kit-Yee Daisy Fan,02:40PM,03:30PM,"Programming and problem solving using MATLAB. Emphasizes the systematic development of algorithms and programs. Topics include iteration, functions, arrays, recursion, object-oriented programming, and MATLAB graphics. Assignments are designed to build an appreciation for complexity, dimension, fuzzy data, inexact arithmetic, randomness, simulation, and the role of approximation.","Corequisite: MATH 1110, MATH 1910, or equivalent.",CS 1112,B,FA21,0.0,"['MATH 1110', 'MATH 1910']",,,,3.12,5.0,3.8
48,EDUC,2610,Intergroup Dialogue,Jazlin Gomez,11:20AM,02:20PM,"Intergroup dialogue is a form of communication specifically designed for people to engage with one another across social, cultural, and power differences in a critical and meaningful way. This class prepares students to live and work in a diverse world, and educates them in making choices that advance equity. Its main objectives are to: explore our human capacity and need to connect with ourselves and others; increase understanding of personal and social identities and how they inform our lives; explore the effects of social inequity at personal, interpersonal, and structural levels (including the ways in which it disrupts human connection); develop students' skills to communicate, work, and lead effectively across difference; and strengthen individual and collective capacities to strategize for change on campus and beyond.",,EDUC 2610,A,FA21,0.0,[nan],,,,1.67,4.5,2.0
49,BIOMG,1350,Introductory Biology: Cell and Developmental Biology,Chris Fromme,09:05AM,09:55AM,"The course introduces molecular mechanisms that underlie the organization, division, and growth of individual cells; how they organize during embryonic development to form functional tissues and organs in multicellular organisms; and how their misbehavior contributes to disease. Students seeking additional help with the material taught in BIOMG 1350 should consider the active learning supplemental class BIOMG 1035 (see course catalog for details). The learning outcomes below indicate the topics and skills that students should master upon completion of the course.",,BIOMG 1350,B,FA21,0.0,[nan],,,,3.78,3.26,3.11
50,STSCI,2150,Introductory Statistics for Biology,Melissa Smith,10:10AM,11:00AM,"This course provides an introduction to data analysis and statistical inference illustrated with biological applications. The computer labs will teach graphical analysis and statistical computation using R. Topics include graphical display, populations and sampling, probability distributions, expectation and variance, estimation, testing, correlation, regression, contingency tables, and the design of experiments. Emphasis is on concepts and the careful modeling of biological data, so that statistical methods are applied properly, pitfalls are avoided, and sound conclusions are reached.",,STSCI 2150,A-,FA21,0.0,[nan],20.0,4.5,3.1,2.8,5.0,3.25
51,AEM,3100,Business Statistics,Cindy Van Es,01:30PM,02:20PM,"Focuses on techniques used to analyze data from marketing research, business, and economics. Topics include experimental design and ANOVA, contingency-table analysis, quality-control methods, time-series analysis, and forecasting. Also includes brief introductions to nonparametric methods and multivariate analysis. Involves a research project designed to give experience in collecting and interpreting data.",Prerequisite: AEM 2100 or equivalent.,AEM 3100,A-,FA21,0.0,[],76.0,4.0,2.8,3.7,5.0,3.0
52,PHYS,1112,Physics I: Mechanics and Heat,Robert Fulbright,10:10AM,11:00AM,"First course in a three-semester introductory physics sequence. This course is taught in a largely ""flipped', highly interactive manner, with reading preparation required for class. Covers the mechanics of particles with focus on kinematics, dynamics, conservation laws, central force fields, periodic motion. Mechanics of many-particle systems: center of mass, rotational mechanics of a rigid body, rotational equilibrium, and fluid mechanics. Temperature, heat, the laws of thermodynamics. At the level of University Physics, Vol. 1, by Young and Freedman.","Prerequisite: MATH 1910 or MATH 1120. Recommended corequisite: MATH 1920 in order to continue with PHYS 2213 the following semester. Corequisite: PHYS 1110 must be taken to remain enrolled in PHYS 1112. MATH 1910 may be allowed by instructor in exceptional cases, but continuation in PHYS 2213 will then have to be deferred until MATH 1920 is completed.",PHYS 1112,A-,FA21,0.0,"['MATH 1120', 'MATH 1910', 'MATH 1920', 'PHYS 1110', 'PHYS 1112', 'PHYS 2213']",,,,2.62,4.06,3.75
